,Body,File name,Subject
16,gerald as we discussed earlier following is a list of the high points agreed upon in yesterdays meeting with hanover hopefully this is enough to get a draft of a letter agreement going the compression services agreement will be terminated there will be a day transition period starting within which crestone will build up an operations and maintenance strategy during the day transition crestone will make an election as to whether we want all of the o m part of it or recontract with either hanover or another rd party basically we want the flexibility to do anything we want hanover will provide to us a rate stucture that will be in effect during the day transition we talked about covering their costs under a flat monthly fee plus a to markup we also agreed to meet with them very soon to define exactly who does or pays for specific services we will need to address the way new units will be ordered in the future i have not worked on this yet hanover made the committment to maximize on line availability of their units there will be a year term during which hanover will be crestones preferred provider of either rented or purchased machines this needs to be structrured so that we dont necessarily have to use them the term will start thanks for your help let me know if i can fill in some of the details for you ken,4520.,hanover letter agreement
17,return receipt your document enron corp guaranty was received by steven kessler at am today,4054.,enron corp guaranty
18,steve take a look at this and contact the sponsor with a yes or no thanks is this anything we want to get involved in srs pm rdcarson aep com on am to sherri sera enron com cc swalker vmaonline org blanchfield wl nns com subject virginia manufacturers association seminar june sherry thanks for your guidance concerning the possibility of an enron participant for the vmas seminar on electric utility restructuring scheduled for june i serve as chairman of the vmas energy resources committee which will be responsible for the seminar and the day long agenda it will entail as i explained depending upon the availability of mr skilling or another key individual the vma is offering enron an opportunity to participate in its seminar in an important way we seek to have enron speak on the subject of the developing competitive market and how that market may be accessible and beneficial to vmas member manufacturers which include many if not most of the large companies residing in virginia the purpose of the seminar is entirely educational as customers in virginia will be able under the terms of the electric utility industry restructuring act passed in to choose their supplier of electricity as early as january and by no later than january the subject is becoming a high priority for vma members given the prominence of energy issues today generally and the imminence of the date when choice will be available to virginia customers we envision that enrons message could be encouraging for vma members who today hear much about the dilemma in california another seminar participant will speak on the status of restructuring initiatives in california and other states and understandably wonder about the prospects for successful competition and effective choice in virginia enron could hopefully explain how market benefits might accrue to manufacturers once the day of choice arrives touching on enrons online trading platform aggregation possibilities an alternative which the vma as an umbrella organization is considering and related topics the seminar will begin at am and conclude at pm with the possible enron presentation beginning immediately following lunch at pm we expect good attendance on the part of vma members and plan to offer attendance opportunities to regulatory commission personnel legislators and others who have been closely involved with the development of the virginia restructuring model as it has evolved over the past five years or so i will appreciate hearing from you at your earliest convenience and again thank you for your assistance i will be happy to discuss the particulars with you or anyone else should that be helpful and can be reached at aeps state office in richmond at,3216.,virginia manufacturers association seminar june
19,work with linda to finalize alan comnes ect pm to steven j kean na enron enron cc james d steffes na enron enron paul kaufman pdx ect ect tim belden hou ect ect mary hain hou ect ect linda robertson na enron enron christi l nicolay hou ect ect steve walton hou ect ect jeff brown na enron enron charles yeung hou ect ect subject re letter re information release steve this is a third draft of a letter to wyden re information release the latest draft incorporates comments of tim belden and jim steffes who do you recommend i work with to get this letter finalized alan comnes,7355.,re letter re information release
20,attached are the government and regulatory affairs significant events for the first two weeks of december,2322.,significant events
21,the source the esource bulletin october company information looking for a companys business description executives bios financials facilities competitors subsidiaries sic codes government sec filings lawsuits global securities public records commodity pricing technical publications intellectual property news credit reports economic analysis global industries market research reports analyst reports strategic alliances jvs global credit ratings mergers acquisitions syndicated loans restructures corporate governance venture capital information is available for public foreign and private companies on a real time historical and forecast basis where do i look for general information on a company company website hoovers dow jones interactive nexis company dossier yahoo market guide where are corporate financials or equity information sec filings k q analyst reports global disclosure dunn bradstreet million dollar database bloomberg firstcall investex multex where can i find a companys credit rating standard poors moodys and fitch i cannot find any information on a company why not check the spelling of the company name the company is a subsidiary and or its parent is a foreign entity non us it may be a private company information is not readily available contact esource http esource enron com requestsearch asp with your detailed request web sources proprietary databases general bloomberg www yahoo com dialog www fool com dun bradstreet www redherring com factset www corporateinformation com firstcall www allbusiness com fis online www moneycentral msn com global access general need password hoovers www hoovers com investex www djinteractive com milliondollardatabase www nexis com moodys financial multex www areport com sdc www sec gov standard poors www financials com skyminder www tenkwizzard com liveedgar www usatoday com fee based available through esource check out these and other great web sources at http esource enron com,313.,the source
22,reuters to provide its customers with enrononline real time quotes effective june reuters has launched a new enrononline real time quotes service benefiting commodity traders and industry analysts subscribers to this service will be able to view bids offers and midpoints as well as high low and closing midpoint and change from previous day indications for numerous commodity products available on enrononline subscribers will be able to integrate enrononline real time quotes with reuters news data and analytical tools to view real time prices and ch arts as well as create option models position reports and other analysis initially the quotes will be available for power natural gas crude oil and refined products metals bandwidth coal seafreight emission allowances and weather derivatives markets in north america and europe for more information visit www reuters com enrononlinequotes or call reute rs at please forward this e mail to others who may benefit fr om this service disclaimer all prices presented by reuters through the enrononline real time quotes service shall not constitute or be deemed for any purposes to be an offer by enrononline or enron to enter into any transaction on those or any other terms and are not available through or deemed to be an offer within any trading products that may be offered by reuters in association with the enrononline real time quotes service any use of the enrononline com websit e is expressly subject to the terms and conditions contained within the enrononline com website including the registration process detailed therei n by presenting this information within the reuters site enrononline com is not representing or indicating automatic qualification for access to or use of the enrononline com website for commodity trading,11384.,enrononline real time quotes service on reuters
23,attached is a link to enrons california solutions website it is a secure place on the web that we can use to share resources and keep track of our efforts to manage the energy crisis in california new york washington dc and the west at this site you will find a list of the members who retain either reader or author access to the site a task page that identifies deliverables and who is responsible for completing specific projects a calendar with the details of conference calls speaking engagements hearings and other public meetings that are pertinent to the energy crisis news and articles a compilation of enron position papers regarding the energy crisis a library of documents addressing the energy crisis that have been published by external sources anouncements updates the site has been recently updated and i think youll find it is a useful place to archive information and documents that are related to our national energy campaign please bookmark the site and feel free to add information to the site that you wish to share with your colleagues if you would like to add or remove someone from the site or if you have questions about the site please contact elizabeth linnell or janel guerrero your log in id is first name space last name lower case your password is first two letters of your first name first two letters of your last name example joe smith jo sm http quickplace interliant com quickplace californiasolutions main nsf ope ndatabase,8924.,california solutions website
24,i am not going to be able to get away chris is being a jerk original message from maggi mike sent tuesday october pm to rybarski amanda subject re i am i meant at original message from rybarski amanda sent tuesday october pm to maggi mike subject re i thought you were leaving early original message from maggi mike sent tuesday october pm to rybarski amanda subject re no but i still have your stuff do you want to come and get it original message from rybarski amanda sent tuesday october pm to maggi mike subject by any chance have you found my pager in your car,898.,re
25,so any plans for tomorrow i vaguely remember you suggesting we hit the town tomorrow,2997.,tomorrow
26,i know im all talk ill be down in a little while original message from nelson michelle sent wednesday november am to maggi mike subject re you have all the answers dont you dont you think that someone will figure out your little plan oh and thanks for coming down here and giving me some news fink,1420.,re
27,oh no original message from maggi mike sent tuesday june pm to huble amanda subject re yeah you cant make it home original message from huble amanda sent tuesday june pm to maggi mike subject do you see this weather amanda k huble gas fundamentals phone pager fax,710.,re
28,steve attached is a rough draft proposed by irwin stelzer for the advisory council meeting on april you will note that gavyn is on the agenda from p m i spoke with his assistant regarding the possibility of gavyn departing on april and was told that he has another commitment and will need to depart the enron building by p m on april also can you tell me if prof joe grundfest and lawrence kudlow are new members of the advisory council i would like to update our contact list comments please vanessa,7756.,enron advisory council
29,steve please see attached a background note and update relating to the lme fine issued to enron metals please let me know if you have any questions or would like any further information on this regards julie green,7222.,lme fine background
30,attached please find the natural gas market analysis for today thanks bob mckinney nat gas doc,2255.,nat gas market analysis for
31,dear energy committee members after nearly a year of acting as one of your two co chairs it is time for me to focus more completely on my duties at exodus communications and to bring in new leadership to the energy committee in light of this change john redding and i felt it important for the committee to choose a well qualified and experienced replacement co chair that will lead the energy committee to continued successes after taking nominations for over three weeks we held formal elections during yesterdays regular committee meeting paul stephens joe desmond and nayeem sheikh were nominated and responded with intelligent answers to questions given by the committee and its leadership after over an hour of questions and thorough answers from the three nominees your committee selected joe desmond to replace myself as your new co chair joe has a wealth of impressive experience in energy and leadership and a thorough knowledge of energy and the associated issues facing the svmg companies he has been an active and valued member of the energy committee and has provided much leadership on salient issues including blackout notification real time pricing and direct access please welcome and join me in congratulating joe desmond as your new co chair along with john redding i am certain these two will lead the committee on the important energy issues of your company and improve upon the already lengthy list of successes this committee has achieved for all svmg companies they will help to grow the recognition and stewardship the svmg energy committee has attained amongst our peer groups and state and federal policy makers i know that joe will come to speed immediately on leading your committee nonetheless i will wane my involvement over the next several weeks and assist joe in transitioning into his new role we are lucky to have such great leadership by both john and joe and i know we will have many more great successes to come congratulations and thank you to all of our three nominees and welcome co chair joe desmond kc mares outgoing co chair svmg energy committee and director of electrical energy and utilities management exodus communications inc kc mares exodus net,27982.,welcome new co chair
32,um no sir original message from maggi mike sent tuesday november pm to nelson michelle subject re what do you mean she likes my shirt are you jealous original message from nelson michelle sent tuesday november pm to maggi mike subject re what is the except becky stuff all the time original message from maggi mike sent tuesday november pm to nelson michelle subject re i dont know everybody else is except becky original message from nelson michelle sent tuesday november pm to maggi mike subject re why are you asking me that original message from maggi mike sent tuesday november pm to nelson michelle subject re howcome you didnt make fun of my yellow shirt today original message from nelson michelle sent tuesday november pm to maggi mike subject heath bar for the butt,1154.,re
33,i attach a presentation nicely prepared mostly by akshay singh and the telecommunications portion by b a n sharma this contains general information on india that you may find useful please distribute this on to others who may have use for the information i apologize for the size of the file,6316.,general information on india
34,ken what is ajilons full legal name for instance ajilon technoloigies company or ajilon corporation etc the legal name is necessary for this document thanks original message from keefer ken kkeefer ajilon com enron mailto imceanotes keefer c ken ckkeefer ajilon ecom e enro n enron com sent monday may am to allario john subject re nda for agilon john is there any additional information regarding the nda name change that would need to be provided beyond what has already been identified thanks ken original message from john pavetto enron com mailto john pavetto enron com sent monday may am to kkeefer ajilon com cc john allario enron com subject re nda for agilon please feel work john allario regards original message from keefer ken kkeefer ajilon com enron mailto imceanotes keefer c ken ckkeefer ajilon ecom e en ron enron com sent monday may am to pavetto john subject re nda for agilon we may have some confusion here as the company name should be ajilon llc attn gary preston i am unable to find any internal reference to a paul s galant and agilon technologies is a different company original message from john pavetto enron com mailto john pavetto enron com sent monday may am to kkeefer ajilon com subject fw nda for agilon original message from allario john sent monday may am to jones tana cc pavetto john subject nda for agilon tana we would like an nda for the following counterparty agilon technologies inc attn mr paul s galant dallas parkway dallas tx gpreston agilon com nature of business enron net works l l c is hoping to have agilon perform transaction hub service functions for eol agilon has software that would fit nicely on top of eol and help our trading counterparts more easily download and create their own trading reports as a result of their transacting with eol please email the nda to me and you can send the hard copy out directly to mr galant no know legal contact at agilon yet muchas gracias herrin jones johan john allario enron net works l l c o c john allario enron com,11978.,re nda for agilon
35,i know beth perlman is a vp of enron corp that s why i suggested s he sign the mou instead of philippe in my email to you yesterday i don t under stand your emphasis on the word is bob ward manager it development ext original message from jones tana sent thursday june pm to ward bob cc greenberg mark subject re fw sp jdp mou signed beth perlman who is a vp of enron corp bob ward enron enronxgate pm to mark greenberg na enron enron cc corinna bolender enron enronxgate tana jones hou ect ect jim ogg enron enronxgate subject fw sp jdp mou signed mark please send a signed copy of the mou to james morris at the address below by the way who signed the it thank you bob ward manager it development ext original message from james morris mailto jammo microsoft com sent thursday june pm to ward bob cc bolender corinna ogg jim subject re sp jdp mou signed hey guys send it to microsoft way bldg rm redmond wa thanks original message from ward bob mailto bob ward enron com sent thursday june am to james morris cc bolender corinna ogg jim subject sp jdp mou signed james we have a signed copy of the mou ready to send to you i need your address thank you bob ward manager it development ext,12440.,re fw sp jdp mou signed
36,here it is i figured steve and jeff had agreed this greg asked about it and told him i knew nothing about it he wasnt thrilled david original message from oxley david sent tuesday june pm to whalley greg subject fw md prc committee fyi original message from sera sherri sent tuesday june pm to shankman jeffrey a piper greg mcmahon jeffrey mcconnell mike mccarty danny leff dan lavorato john kitchen louise fallon jim dietrich janet cox david buy rick brown michael coo london bowen jr raymond cc kean steven oxley david subject md prc committee it has been decided to again expand the md prc committee beyond the policy committee members to include other mds each of you has been chosen to participate in the mid year md prc to take place on tuesday july david oxley and his team will provide you with pertinent details of the meeting please let jeff skilling know if you have a conflict or any concerns regarding your participation in this process srs,8895.,fw md prc committee
37,in order to complete your access request i need your company number and your digit sap cost center code,10301.,access
38,attached please find sbx polanco which is senator peace and senator shers mou originally this was governor davis mou but the governor has since switched his support to abx hertzberg and keeley http info sen ca gov pub bill sen sb sbx bill amend ed sen pdf,8754.,sbx mou
39,fyi fyi am from diane bazelides azurix on am to elizabeth ivers na enron enron karen denne corp enron enron cc subject revised merger release q a here are the latest documents we plan to issue the release immediately after the meeting which is scheduled to begin at on friday and probably lasting less than minutes,7790.,revised merger release q a
40,thanks for all your help youre great original message from jones tana sent thursday may am to schultea adriane subject re fw fw ca for green mountain good letter adriane schultea enron enronxgate am to smithtm bp com smtp enronxgate cc tana jones hou ect ect subject fw fw ca for green mountain tim we appreciate you sending us green mountains confidentiality agreement however we have a standard agreement that we would prefer to use please have your legal department review the attached document and let me know if this will be sufficient if yes we will get the application process underway thank you so much for your time and patience if you have any questions or concerns regarding our confidentiality agreement please contact tana jones at however feel free to contact me also thanks again adriane file green mtn doc adriane schultea enron enronxgate am to tana jones hou ect ect cc subject fw ca for green mountain thanks tana original message from smith timothy m smithtm bp com enron mailto imceanotes smith c timothy m csmithtm bp ecom e enron enron com sent wednesday may pm to schultea adriane subject ca for green mountain adriane heres our confidentiality agreement for execution before we release our financials please let me know if you have any feedback thanks tms form unilat confidentiality agt application service provider enron zip form unilat confidentiality agt application service provider enron zip file form unilat confidentiality agt application service provider enron zip,11880.,re fw fw ca for green mountain
41,per a request from theo pahos on behalf of mirant can you please fax him a copy of plan b at kelli clifton public policy advocates,12537.,plan b
42,its ok i guess everything is backwards and i cant get used to it i was up there earlier i didnt see where you guys are sitting how was your weekend original message from maggi mike sent monday november am to nelson michelle subject re terrible yours original message from nelson michelle sent monday november am to maggi mike subject re yes why wouldnt we be how is your new desk original message from maggi mike sent monday november am to nelson michelle subject so are we still talking,960.,re
43,the following expense report is ready for approval employee name john hardy jr jr status last changed by automated administrator expense report name general expenses report total amount due employee to approve this expense report click on the following link for concur expense http nahou wwxmsp eserver enron com am to steven j kean enron com steven j kean enron com cc subject concur expense document march the following expense report is ready for approval employee name michael terraso status last changed by automated administrator expense report name march report total amount due employee to approve this expense report click on the following link for concur expense http nahou wwxmsp eserver enron com am to steven j kean enron com steven j kean enron com cc subject concur expense document amex the following expense report is ready for approval employee name mark a palmer status last changed by automated administrator expense report name amex report total amount due employee to approve this expense report click on the following link for concur expense http nahou wwxmsp,7818.,concur expense document general expenses
44,gonzalez esmeralda would like to recall the message,12043.,recall
45,just a reminder i will be on vacation from the th thru the th i will no t have my computer with me but joseph will have my schedule in an emergency,29376.,vacation
46,notice no may memorandum to all comex division member firms and members all nymex division member firms and members from neal l wolkoff executive vice president re aluminum market maker please be advised that aig international will cease to be the aluminum specialist market maker effective with the close of trading on monday may further information will be provided when a new specialist market maker is selected please click on the link below to indicate you have received this email http email email log cfm useremail tana jones enron com refdo c note if you click on the above line and nothing happens please copy the text between the quotes open your internet browser paste it into the web site address and press return,11708.,aluminum market maker
47,tana fyi mark senior counsel ews phone facsimile e mail mark greenberg enron com carlo we are ok with all of the changes you have proposed except for the deletion of paragraph which is important to us considering the key individuals who have been involved in the development of the enrononline system our legal team has advised us to seek the inclusion of this section please advise me of your further thoughts john original message from guarino carlo c cguarino dow com enron mailto imceanotes guarino c carlo c ccguarino dow eco m e enron enron com sent friday april pm to pavetto john allario john cc jones tana greenberg mark mason james jl isley kenneth kd ruiz fernando f kalil charles cj subject re non disclosure agreement john i have sent you back our suggested changes to the nda if you agree then please send it back as final and well get it signed as you can tell we removed section since in the spirit of co operation this seems inappropriate and a very unlikely circumstance best regards carlo carlo guarino global development director dow growth center office mobile fax internet address cguarino dow com original message from allario john mailto john allario enron com sent friday april pm to carlo guarino e mail cc pavetto john jones tana subject non disclosure agreement carlo john pavetto mentioned to me you and your team are presently reviewing and proposing a few changes to our non disclosure agreement you may contact either tana jones legal specialist or mark greenberg attorney directly in order to address your comments or changes please feel free to contact me also for any questions comments or scheduling tana jones mark greenberg john allario best regards john allario downetworks doc file downetworks doc,11342.,re non disclosure agreement
48,your change in paragraph is acceptable please forward the documents for execution as you have suggested jennifer original message from mark greenberg enron com mailto mark greenberg enron com sent wednesday february pm to jennifer farac cc peter feltman enron com tana jones enron com subject re networks enron net works nda jennifer i sincerely apologize to you for my delay in responding i had honestly thought i had done so but guess i was wrong i have reviewed the comments you made to the agreement and have the following comments paragraph first insertion of or those of its affiliates this is acceptable paragraph second insertion of or its affiliates since the term company is not a defined term and as a defined term is not used elsewhere in the agreement i would proposed that the provision where this word appears be redrafted to state without limiting the generality of the foregoing each such representative must be specifically informed that he she can use the confidential information solely in his her capacity as a representative of the protected party paragraph the change to this area for new york law is fine presuming the change in paragraph is acceptable i will have the final documents prepared signed and forwarded for signature to your attention mark senior counsel ena phone facsimile e mail mark greenberg enron com jennifer farac jennifer fara to mark greenberg enron com c net mark greenberg enron com cc vanessa wittman vanessaw net subject networks enron net works nda pm mark i have reviewed your standard form nda and have noted two minor comments thereon i have suggested the state of new york as a more neutral jurisdiction and one that is widely used in commerical transactions rather than the state of texas the other comments are self explanatory please contact me should you have any concerns networks enron nda doc jennifer farac legal counsel networks inc direct fax email jfarac net note this email message contains information that is confidential and may be privileged it is intended only for the addressee if you have received this email message in error please email the sender by replying to it and then deleting it we appreciate your assistance in correcting this error see attached file networks enron nda doc,9717.,re networks enron net works nda
49,national journals technology daily daily feature is now available on nationaljournal com click here http nationaljournal com pubs techdaily tech daily afternoon feature executive summary editor sharon mcloone pens a concise digest of the weeks top high tech policy news click here to go directly to the feature http nationaljournal com pubs techdaily features execsumm exec htm today on nationaljournal com the scene the jeffords defection and the risk of snap judgments http nationaljournal com members buzz scene htm ad spotlight n j gov candidate jim mcgreevey d runs early ad http nationaljournal com members adspotlight jmnj htm got a job to fill capital career source can help capital career source puts your job listing in front of thousands of top notch job seekers many of them regular readers of nationaljournal com find the right people right now call us at for details or go directly to http www capitalcareersource com to stop receiving these e mail alerts reply to this message and include the word unsubscribe without quotes in the body of the message national journals technology daily is published daily by national journal group inc for more information about national journal groups publications go to http www nationaljournal com,8623.,technology daily executive summary
