,Subject,Body,File name
10,public opinion strategies enron executive summary,enron team attached please find an executive summary from the california statewide survey we will do the full presentation of the survey findings on fridays conference call call in information will be sent to you shortly please give me a call or send an email with any questions or comments thanks nicole fink public opinion strategies nicole pos org the following section of this message contains a file attachment prepared for transmission using the internet mime message format if you are using pegasus mail or any another mime compliant system you should be able to save it or view it from within your mailer if you cannot please ask your system administrator for assistance file information file exec summary pdf date mar size bytes type unknown exec summary pdf,7796.
11,eol approvals,attached are eol approvals amendments declines for january,9192.
12,form contract,hi john question can we agree that a form contract will work for both eecc and nepco sure would make life easier kay,3398.
13,cash,just so everyone knows who is in the basic teams working on cash please see attached spreadsheet please can all team leaders attend the cash meeting at pm to report on progress thanks,1030.
14,electrobolt epc contract,fyi this form came from global finance per my voicemail rose david gohlke dgohlke skadden com pm to glauco palhoto enron com jeff westfahl enron com john g rigby enron com john guidry enron com john novak enron com john r ayres enron com jose anson enron com kevin joyce enron com laine a powell enron com lisa alfaro enron com luiz watanabe enron com mary cilia enron com mary kimball enron com mike morrison enron com patricia scholz enron com peter n anderson enron com roderick blackham enron com roseann engeldorf enron com roshena ham enron com scott dieball enron com sergio nomura enron com stephen gray enron com cc brian bradshaw bbradsha skadden com thomas weil tweil skadden com subject electrobolt epc contract esa eecc and finance teams attached for your review is the electrobolt epc contract our doc which incorporates the negotiated provisions of the electrobolt mou to assist you in your review i have also attached a blackline of the electrobolt epc marked to show all changes from the riogen epc contract distributed october and a blackline of the electrobolt epc marked to show all revisions to the eecc form epc contract please note that the comparison document prepared by deltaview shows new text in blue double underscore deleted text in red strikethrough and moved text in green double underscore at the new location strikethrough from where moved please call if you have questions comments regards dave gohlke david e gohlke skadden arps slate meagher flom llp smith street suite houston texas direct fax main dgohlke skadden com this e mail and any attachments thereto is intended only for use by the addressee s named herein and may contain legally privileged and or confidential information if you are not the intended recipient of this e mail you are hereby notified that any dissemination distribution or copying of this e mail and any attachments thereto is strictly prohibited if you have received this e mail in error please immediately notify me at and permanently delete the original and any copy of any e mail and any printout thereof further information about the firm a list of the partners and their professional qualifications will be provided upon request doc doc doc,3136.
15,kay manns father,i regret to inform you that kay manns father passed away this morning i will get funeral arrangement details to you as soon as i receive them i will also send flowers on behalf of the company please keep kays family in your thoughts and prayers today thanks alice wright enron wholesale services legal smith st eba houston texas tel fax alice wright enron com,58.
16,negawatts,good story on negawatts thanks to john shelk for getting me the document it helped jim landers with the story mark http www dallasnews com business stories negawatt bus html,13248.
17,one pager,regarding the one pager we discussed today and for discussion in a later call i wanted to offer a suggestion on an approach i d like to see something simple that uses headings to show what enron has done what concerns remain and the steps you expect to take in the future ive put together some very rough sample bullet points below as a start to get everyone thinking and as an example of a format that could be effective a short preface should also be added to set up the bullets possibly something that says enron has been working diligently to meet elements of the committees subpoena despite remaining disgreements what enron has done delivered x number of documents spent x man hours compiling information requested by the committee retained a depository in sacramento for documents negotiated in good faith on a continuous basis with the committee enron s concerns regarding delivery of additional documents the committee has failed to implement an acceptable confidentiality agreement that includes sanctions for anyone who breaches the agreement confidential documents held by the legislature such as in the quackenbu sh case have historically found their way to the press or made public oft en in a selective manner the broad nature of the committee s request and whether requested docum ents are relative to this inquiry whether a state legislative committee has jurisdiction over activities tha t involve interstate commerce what enron will do bullets on planned steps,29088.
18,term sheets for power purchase agreements,brenda please print these thanks attached are blacklined and clean copies of the revised drafts of the term sheets for the power purchase agreements for project everest these drafts incorporate the changes we recently discussed please call me with any additional changes that need to be made thanks hal fac doc fac doc red doc red doc,1094.
19,december calendar,attached is the revised december calendar for the power group thanks,327.
20,accomplishments,sk i have printed this out and put in a folder w other peoples accomplishments mm steve attached are the environmental and safety accomplishments mike,6951.
21,holly keiser vacation,i will on vacation starting friday may and will return to the office on friday may debra garcia will be filling in for me during this time thanks holly keiser enron americas legal department eb ph fx holly keiser enron com,11647.
22,ledford and fehr option agreements,stuart kays venting for the day is it nitpicking to expect outside counsel to make sure the option agreement is signed and acknowledged ascertain whether the thing has the dates filled in and makes sure that the legal description is included ok maybe im whining but i think mark should know that we are having problems have you mentioned anything to him kay karen there are a few outstanding items missing on the ledford and fehr option agreements they are as follows ledford property steven and lynn ledfordss signatures were not acknowledged exhibit b grant of easement legal description was to be inserted since it is our intention to have executed and record a memorandum of purchase option and grant of easement shouldnt we obtain from the ledfords i a legal description of the easement or ii a legal description of the parent tract for reference purposes or iii a property identification number of the parent tract at the very least to include in the memorandum fehr no legal description exhibit a was attached to the fehr option do you have a copy of the legal description please advise i look forward to hearing from you regarding the above thank you kathleen direct phone number fax,3231.
23,brents schedule,brent hendry will be leaving early today around p m he is also taking a half day vacation p m this thursday and friday swap group due to brents schedule he will be unable to attend the nymex seminar intro to nymex products on thursday june th from p m p m if any of you would like to attend in his place please let me know asap i have heard they are hard to get in to the location of seminar is louisiana th floor thanks becky x,12302.
24,midwest energy cash management policy,fyi no action needed at this point kay attached is a quick pass at a template for the midwest energy hub cash management policy based on conversations with both peoples energy and enron personnel i have tried to get down on paper all the issues and have included several bracketed items and comments that need clarification however i have undoubtedly missed some things and welcome any input if everyone could provide me with their comments by thursday july th i will incorporate them and work with kay to translate this into an executable legal document thanks for everyones assistance gregg,4048.
25,short form gtcs,elizabeth attached are the short form of gtcs that we would like to use in connection with our telecom transactions certain provisions of these gtcs are bracketed and i would appreciate your view as to whether or not these provisions should be included also please note that i have incorporated the termination provisions that you sent to me by fax and these provisions are bracketed and set forth in section let us have your feedback when you can as we would like to start using these and preparing a version for use with our advertising master thanks in advance for your help cynthia,1067.
26,new power,the defn of eligible accounts unbilled new power billed utility billed also the days goes from invoice date the collateral defn which includes general intangibles and proceeds will stay same re acquisitions no change to the way they can approve now re acquisition process so comes out robert i did talk to bill and michael about and they are ok with as is b and b amend c of master agreement to say that they have to provide covenant compliance cert which says whether or not they have a mac right now ways that they have to say they have no mac this amendment should survive the replacement collateral period and be for all time that way they have to tell us only one way or the other and the mac does not cause an independent default in a of the master this is how we think should have worked to begin with consistent with our other masters keep negative pledge severance cap say that no executive deferred compensation or parachutes or similar will be paid during the period with our released cash or any other cash unless we are fully margined with cash and they have released the a r and inventory they can pay pay as you go severance during the period i e no lump sum and limited to what the person would have received in monthly salary ordinarily they can also pay any other severance stuff i e under employment contract capped at david and elizabeth will turn the docs from last night with some other nits etc fixed up for last internal look before we send robert see if we havent gotten what you have if you would so can keep going shout back anyone if disagree with above have just confirmed this list with michael,191.
27,hotel reservations,if you are planning to attend the december drafting committee meeting here in columbus ohio and have not already made your hotel reservations please do so as soon as possible in order to get the discount aep rate their discount rate for aep is per night plus tax apparently they only have so many rooms with the discount rate the hotel is courtyard by marriott downtown w spring st columbus ohio i will be checking other hotels in the area to find out about discount rates and forward to you the information please forward any names of individuals that you know will be attending the meeting who are not listed please contact me if you have any questions thank you dj stephens assistant to f mitchell dutton this e mail message from the legal department of american electric power is for the sole use of the intended recipient s and may contain confidential and privileged information any unauthorized review use disclosure or distribution is prohibited if you are not the intended recipient please contact the sender by reply e mail and destroy all copies of the original message,953.
28,interim agreement,kay tom will be out today he called in and asked me to prepare a brief summary of our interim agreement with mdea for may he indicated that you would prepare a formal version of these details for execution should you have any questions please contact myself kayne coulter or lloyd will thanks regards jeff miller x,5177.
29,information management weekly milestones report,information management weekly milestones report portal the list of hr employees to receive the im portal survey is pending approval hr is delayed because of compensation responsibilities tempora ry delay will not impact pilot deliverables the technical team is creating portal templates for the respective busine ss units functional units each template will reflect bu fu content a simila r look and feel a dynamic technical platform a platform which can b e easily updated and a secure platform a platform which reflects the latest singl e sign on effort the production server for the portal is being built myhome enron com is being targeted as the portal name brandon rigney ha s been consulted to provide user experience input and ensure a smooth transition of current users from the former myhome enron com site to the ne w best practices im task force myhome enron com portal im task force is investigating it pilot project for single sign on application the task force intends to provide a single sign on interface for all applications accessible from portal unstructured data management enterprise search engine tool a request has been made for vendors autonomy verity and inktomi to provide the im software selection team with a proof of concept evaluation a nd customer references the sst is having a challenge getting software prices from all three vendors gss will be requested to support this effort at this early stage each of the vendors license their software in a different manner inktom i s licenses are based on number of documents indexed autonomy s licenses are based on number of end users and verity s can be a combination of serve r instance and end users the inability to accurately predict numbers of documents users and server instances makes a side by side comparison difficult the sst is continuing to work on the software evaluation report custome r feedback and pricing will be incorporated as it becomes available im strategy proposal momentum from the pilot phase of this project is needed for the delivery stage the stage where we take what we have developed for a pilot and b ring it to enron corporate wide to do so an im executive coordinator needs to be identified asap allan sommer is meeting with price waterhouse and ernst young and will collect information on knowledge information management although this project has task force accountability and timelines no one executive has accountability for the budget true accountability lies with in the organization which has a defined approved budget for the project information presented at last week s analyst meeting appears to suppor t the need for a formalized executive sponsored im program the im task force is meeting with ees next week to discuss the informatio n released at the analyst meeting,7295.
30,beck comments on incentive fee exhibit,marvin the exhibit on the incentive fee calculation i just received is essentially the same as we have seen before and i still have the same overall comment unless i have some misunderstanding it seems to me that in a back to back transaction you could easily have a situation in which epmi is making a profit from a transaction on which the cities are losing money the savings per hour on which epmis profit sharing is based is only the difference between the market price what the purchaser agreed to pay and the cities target production cost incremental fuel cost and variable o m the savings per hour ignores all of the other costs that the cities may be obligated to pay under a back to back transaction such as transmission ancillary service imbalance congestion etc see the definition of costs below for example if the target production cost is mwh the market price mwh and transmission is mwh the cities would be paying epmi a profit sharing incentive fee of mwh while losing mwh on the sale transaction as i have noted before the savings on a transaction should be as follows savings revenues from the transaction production cost base on the target production cost and mwhs costs associated with the transaction incurred by epmi or the cities where costs include the items defined in article of the emsa we will get back to you later with comments on the other documents al definition of costs in the esma costs means when applicable to any transaction all costs liabilities fees and expenses incurred by epmi excluding epmis internal costs and allocated overhead in connection with the purchase sale replacement scheduling transmission and delivery of products and balancing services entered into between mdea epmi and third parties costs shall include but shall not be limited to i energy and fuel costs ii transmission costs and losses iii congestion costs iv scheduling fees v penalties inadvertent energy flow charges or imbalance charges that are exclusive of mdeas ancillary service charges vi taxes other than income taxes vii fees penalties or charges imposed by the spp serc iso or rto federal energy regulatory commission ferc or other similar authorities viii broker fees ix communication costs x other associated costs incurred by epmi al malmsjo r w beck office cell,4940.
31,sbx attachment,i neglected to include the attachment to my previous e mail http info sen ca gov pub bill sen sb sbx bill amended asm pdf,8206.
32,alliant energy corporate services,i have checked with kim theriot and if no one has any objections we would like to be consistent with the way we have handled agency situations previously set the name up in global as alliant energy corporate services inc as authorized agent i will make a counterparty specific template that includes the rest of the legal name of the counterparty we have sent this format to other agency entities and it was accepted please let me know when this has been done we will have to move records in the enpower system because a new record was set up thanks,11193.
33,mou,the assembly energy committee has postponed todays informational hearing on abx keeley regarding the sce mou until tomorrow at a m in room the assembly passed the state budget,28802.
34,skelton option,im looking at the skelton option hart county ga and cant figure out when it was executed must confess i didnt read every word can anyone help me with this thanks kay,3646.
35,bpa surplus,thanks to the great work of cara and diana all bpa surplus firm purchases for the month of may have been booked out with bpa or delivered to a muni all of mays surplus firm obligations has been booked out or has been delivered to a pud for the month of may diana,3175.
36,vepco interconnection agreement,please see if you can get a conference room allowing hours for the meeting thanks kay how does everybody look for a discussion concerning the vepco interconnection agreement on tuesday sept ive checked with christi mitch and reagan so they dont need to confirm details to follow thanks kay,3515.
37,state controller kathleen connell press conference,a report from arms pr firm to the arm members sue mara enron corp tel fax state controller kathleen connell held a press conference today to voice her concerns over electricity power purchases effect on the states general fund and in response to a letter received march from department of finance director tim gage and chief legislative analyst elizabeth hill requesting a transfer of money from the general fund connell stated that current financial information related to the purchase of electricity and the general fund is as follows states general fund surplus has dropped from billion in january to a current estimated level of billion receipt of a letter from the department of finance director and the chief legislative analyst requesting an additional transfer of billion to the special fund for economic uncertainties to cover power purchases to cover this transfer connell said the state would have to borrow billion connell we started this year with a generous budget surplus the energy crisis has taken much of that away and this transfer on top of the electricity purchases would put the general fund at risk debt issuance has not occurred to reimburse the general fund for power purchases while disbursements from the general fund increase daily controller connell sent a letter to the governor today calling for the following steps to be taken dwr to notify the controllers office of any purchases made and any contracts negotiated to date dwr to notify the controllers office of any future purchases and contracts within days regardless of when the invoices are submitted information on purchases in excess of million should be submitted within hours dwr should prepare new general fund cash flow estimates for the next and days and for the end of the fiscal year dwr should take action to ensure that bond sales are completed by the end of may the controller is also ordering an audit of the dwr resources to determine the amount of money being spent by the department currently connell said i have to rely on press reports as valid to determine the amount of money spent in power purchases she said she needs acknowledgement of the total amount of liabilities made by dwr megan beiser assistant account executive edelman public relations worldwide sacramento phone fax,7895.
38,engage energy canada l p,we have received an executed first amendment to isda master agreement by and between engage energy canada l p engage canada and enron canada corp ecc dated as of march which amends certain credit provisions in the master agreement and replaces the guarantees for both parties copies will be distributed stephanie panus,12064.
39,tex mex docs,you may have these for tex mex john expects to use something similiar on the coal plant but obviously that is up to you kay per johns request attached are the electronic versions of the participation agreement and the project development agreement for the tex mex project aaron roffwarg aroffwarg bracepatt com pm to bob carter enron com cc subject tex mex docs documents per your request see you tonight best regards aaron p roffwarg bracewell patterson llp south tower pennzoil place louisiana st houston texas ph fax confidentiality statement this information is intended only for the use of the individual or entity to which it is addressed and may contain information that is privileged confidential and or exempt from disclosure under applicable law if you are not the intended recipient you are hereby notified that any dissemination of this information is strictly prohibited if you have received this information in error please notify us immediately by telephone at or by fax at and confirm that you have destroyed this information and any copies thank you newparti doc projectd doc,4439.
40,vacation,just a reminder i will be on vacation from the th thru the th i will no t have my computer with me but joseph will have my schedule in an emergency,13844.
41,lv cogen abb agreement,attached please find the most recent version of the lv cogen abb agreement second document below that incorporates the contractors comments in exhibit b as well as a blackline first document below showing changes from the version i circulated on january please call me and let me know if my changes are correct once i receive your comments i will circulate the revised draft this evening comparison of lv cogen abb facility agreement versions to doc lv cogen abb facility agreement version doc abb facility agreement versions to doc abb facility agreement version doc,5155.
42,illinois projects update,kay attached please find the update regarding enas illinois projects please do not hesitate to contact me with any questions or comments regarding the status of the various projects we are still working to find a date for the pmrw attorneys on the enron team to come to houston to meet with the enron attorneys and project development leaders please let us know if there are dates or times that would be more convenient for you thank you have a great weekend christopher j townsend piper marbury rudnick wolfe n lasalle street chicago il direct line direct fax christopher townsend piperrudnick com z q wpd the information contained in this communication may be confidential is intended only for the use of the recipient named above and may be legally privileged if the reader of this message is not the intended recipient you are hereby notified that any dissemination distribution or copying of this communication or any of its contents is strictly prohibited if you have received this communication in error please re send this communication to the sender and delete the original message and any copy of it from your computer system thank you for more information about piper marbury rudnick wolfe please visit us at http www piperrudnick com z q wpd,1681.
43,power credit watch list,please find attached the power credit watch list for november please reply with any questions thank you kortney,341.
44,eol approvals,attached are eol approvals for january,9167.
45,meeting on december,would the drafting commitee and representative credit managers be interested in meeting in new york city on december to discuss credit annex draft bill mccoy is giving a brown bag discussion on trading documentation at a law firm in nyc and perhaps we could meet with him afterwards let me know asap and ill ask marving goldstein a partner at the firm if we can meet after the brown bag of course that depends on bills availability too andrew s katz director industry legal affairs edison electric institute pennsylvania avenue n w washington d c voice fax e mail akatz eei org andy katz vcf,1897.
46,enron center garage,the enron center garage has opened employees who work for business units that are scheduled to move to the new building and currently park in the allen center and metropolitan garage are being offered a parking space in the new enron center garage this is the only offer you will receive during the initial migration to the new garage spaces will be filled on a first come first served basis the cost for the new garage will be the same as allen center garage which is currently per month less the company subsidy leaving a monthly employee cost of if you choose not to accept this offer at this time you may add your name to the enron center garage waiting list at a later day and offers will be made as spaces become available the saturn sky ring that connects the garage and both buildings will not be opened until summer all initial parkers will have to use the street level entrance to enron center north until saturn sky ring access is available garage stairways next to the elevator lobbies at each floor may be used as an exit in the event of elevator trouble if you are interested in accepting this offer please reply via email to parking and transportation as soon as you reach a decision following your email arrangements will be made for you to turn in your old parking card and receive a parking transponder along with a new information packet for the new garage the parking and transportation desk may be reached via email at parking and transportation corp enron or with any questions you may enter exit on clay st and bell st also pedestrians will have to use the garage stairwell located on the corner of bell smith please respond via e mail if you are interested in acquiring one of these spaces,5406.
47,city of austin blackline original to final doc,city of austin blackline original to final doc here is the blackline showing changes from the original agreement to the final one i sent to you last week city of austin blackline original to final doc,2685.
48,financial trading agreement database access,at wendis request i have submitted a request to get you both edit access to the financial trading agreement database in the meantime below is the icon that will allow you to have view access to everything but the comments i will let you know when your edit access is approved at which time you will be able to input changes comments as well as be able to see comments link,11138.
49,tokyo visit,sk ive printed this out put it in your meeting folder mm steve i attach a briefing paper for your visit a hard copy will be available for you on arrival the paper includes the following itinerary conference details brattle paper summary media interview background general key messages electricity wholesaling reactive statement political update meeting briefing notes you will note one further change to the itinerary we will be meeting with meti rather than the fair trade commission the purpose of the meti meeting will be to explain our concerns with the current regulatory environment and enron japans proposal to temporarily suspend its electricity wholesaling activities we met with our meti working level contacts today to brief them on brattle and in particular the shortcomings of the current system we did not discuss suspension of our wholesaling activities the meeting briefing notes will be available on your arrival in tokyo i also attach the latest version of the brattle paper and for completeness the final version of the presentation and notes i will call you at the palace hotel on monday at pm if you have any hiccups with arrangements please let me know my contact numbers are as follows home mobile office i think we have stirred things up enough here in the last couple of days to make for an interesting visit for you i look forward to seeing you on monday kind regards,8423.
50,hba pictorial roster photos free,photo sessions for next pictorial roster set for june august the houston bar association has contracted with a new publisher for the edition of the hba pictorial roster and photography sessions have been scheduled for members who would like to have a new picture taken for the roster free of charge any member who would like to have his or her photo taken may come by the houston bar association office between the hours of a m and p m on june or june another session will be scheduled august and august there is no charge for the photo no appointment is necessary and the photo sessions will take only a few minutes the houston bar association office is located downtown at fannin suite members may also submit their own photo for the roster or use an existing photo already on file with the hba legal directories publishing company inc will begin publishing annual editions of the pictorial roster rather than every two years the hba hopes to have as many current photos as possible in the new roster so please take advantage of this opportunity,4945.
51,power group christmas lunch,the power group christmas lunch is tentatively scheduled for december i will let you know the final details as to time and location when the arrangements have been finalized thanks,317.
52,power group christmas lunch,the power group christmas lunch is scheduled for monday december at mia bella italian restaurant at main in downtown houston the reservation is for a m due to the holiday season we must be there on time to be accommodated let me know if you have any questions thanks,1854.
53,calpine nda commoditylogic,stephanie below is an nda for calpine corp requested by tom gros md for commoditylogic a net works project if you have time would you please print two originals on letterhead and assist me in getting them to tom if you cannot assist because of other commitments please let me know thanks mark senior counsel ena phone facsimile e mail mark greenberg enron com,10074.
54,development,i just received a fifty page expert report about painewebber and ect securities over ralph hellmolds signature the report is totally argumentative and was obviously written by lawyers and not by hellmold this is an unfortunate development for one reason when we make farallon a settlement offer in a day or so they may well believe that it came in reaction to this report i will try to disabuse them of that but i may or may not be successful ill fax you the report alschuler grossman stein kahan llp attorneys at law www agsk com century park east thirty ninth floor los angeles ca tel fax this transmission is intended only for the use of the addressee and may contain information that is privileged confidential and exempt from disclosure under applicable law if you are not the intended recipient or the employee or agent responsible for delivering the message to the intended recipient you are hereby notified that any dissemination distribution or copying of this communication is strictly prohibited if you have received this communication in error please notify us immediately via e mail at postmaster agsk com or by telephone at thank you,7564.
